iso_code	continent	location	date	total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	new_tests	total_tests	total_tests_per_thousand	new_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	positive_rate	tests_per_case	tests_units	total_vaccinations	people_vaccinated	people_fully_vaccinated	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	new_vaccinations_smoothed_per_million	stringency_index	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cardiovasc_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_thousand	life_expectancy	human_development_index	excess_mortality
NGA	Africa	Nigeria	2021-07-24	170895.0	589.0	223.714	2132.0	2.0	0.857	829.026	2.857	1.085	10.343	0.01	0.004																													206139587.0	209.588	18.1	2.751	1.447	5338.454		181.013	2.42	0.6	10.8	41.949		54.69	0.539	
MKD	Europe	North Macedonia	2021-07-24	156054.0	37.0	21.857	5489.0	0.0	0.286	74904.242	17.76	10.491	2634.661	0.0	0.137																													2083380.0	82.6	39.1	13.26	8.16	13111.214	5.0	322.688	10.08				4.28	75.8	0.774	
NOR	Europe	Norway	2021-07-24	135631.0	396.0	200.143	799.0	0.0	0.429	25018.437	73.046	36.918	147.383	0.0	0.079																													5421242.0	14.462	39.7	16.821	10.813	64800.057	0.2	114.316	5.31	19.6	20.7		3.6	82.4	0.957	
OMN	Asia	Oman	2021-07-24	289042.0	0.0	0.0	3498.0	0.0	0.0	56601.409	0.0	0.0	684.993	0.0	0.0																													5106622.0	14.98	30.7	2.355	1.53	37960.709		266.342	12.61	0.5	15.6	97.4	1.6	77.86	0.813	
PAK	Asia	Pakistan	2021-07-24	1004694.0	4660.0	2202.714	23016.0	77.0	33.571	4548.343	21.096	9.972	104.196	0.349	0.152																													220892331.0	255.573	23.5	4.495	2.78	5034.708	4.0	423.031	8.35	2.8	36.7	59.607	0.6	67.27	0.557	
PSE	Asia	Palestine	2021-07-24	315968.0	0.0	46.714	3596.0	0.0	1.286	61937.313	0.0	9.157	704.902	0.0	0.252																													5101416.0	778.202	20.4	3.043	1.726	4449.898	1.0	265.91	10.59					74.05	0.708	
PAN	North America	Panama	2021-07-24	429083.0	2234.0	1018.0	6750.0	20.0	7.571	99445.208	517.757	235.934	1564.395	4.635	1.755																			2168541.0	1485279.0	683262.0	101944.0	44992.0	50.26	34.42	15.84	10427.0		4314768.0	55.133	29.7	7.918	5.03	22267.037	2.2	128.346	8.33	2.4	9.9		2.3	78.51	0.815	
PNG	Oceania	Papua New Guinea	2021-07-24	17637.0	56.0	42.429	192.0	0.0	1.857	1971.269	6.259	4.742	21.46	0.0	0.208																													8947027.0	18.22	22.6	3.808	2.142	3823.194		561.494	17.65	23.5	48.8			64.5	0.555	
PRY	South America	Paraguay	2021-07-24	448918.0	1054.0	641.571	14593.0	92.0	51.857	62939.518	147.774	89.95	2045.978	12.899	7.271																													7132530.0	17.144	26.5	6.378	3.833	8827.01	1.7	199.128	8.27	5.0	21.6	79.602	1.3	74.25	0.728	
PER	South America	Peru	2021-07-24	2094445.0	0.0	331.429	195243.0	0.0	28.0	63522.224	0.0	10.052	5921.506	0.0	0.849																													32971846.0	25.129	29.1	7.151	4.455	12236.706	3.5	85.755	5.95	4.8			1.6	76.74	0.777	
PHL	Asia	Philippines	2021-07-24	1543281.0	6184.0	5846.0	27131.0	240.0	76.143	14083.462	56.433	53.349	247.588	2.19	0.695																													109581085.0	351.873	25.2	4.803	2.661	7599.188		370.437	7.07	7.8	40.8	78.463	1.0	71.23	0.718	
POL	Europe	Poland	2021-07-24	2882066.0	118.0	101.571	75241.0	6.0	4.143	76151.243	3.118	2.684	1988.052	0.159	0.109																													37846605.0	124.027	41.8	16.763	10.202	27216.445		227.331	5.91	23.3	33.1		6.62	78.73	0.88	
PRT	Europe	Portugal	2021-07-24	950434.0	3396.0	3287.143	17284.0	20.0	12.143	93209.896	333.049	322.373	1695.057	1.961	1.191																			11498090.0	6793814.0	5148163.0	102666.0	98096.0	112.76	66.63	50.49	9620.0		10196707.0	112.371	46.2	21.502	14.924	27936.896	0.5	127.842	9.85	16.3	30.0		3.39	82.05	0.864	
QAT	Asia	Qatar	2021-07-24	225072.0	124.0	130.286	600.0	0.0	0.143	78121.247	43.04	45.221	208.257	0.0	0.05																			3642002.0	1967377.0	1674625.0	5730.0	19852.0	126.41	68.29	58.13	6891.0		2881060.0	227.322	31.9	1.307	0.617	116935.6		176.69	16.52	0.8	26.9		1.2	80.23	0.848	
ROU	Europe	Romania	2021-07-24	1082183.0	126.0	85.0	34267.0	1.0	2.143	56253.295	6.55	4.418	1781.244	0.052	0.111																													19237682.0	85.129	43.0	17.85	11.69	23313.199	5.7	370.946	9.74	22.9	37.1		6.892	76.05	0.828	
RUS	Europe	Russia	2021-07-24	6025698.0	23395.0	23655.0	150583.0	787.0	765.857	41290.44	160.312	162.093	1031.854	5.393	5.248																			57313547.0	34561624.0	22751923.0	194545.0	691751.0	39.27	23.68	15.59	4740.0		145934460.0	8.823	39.6	14.178	9.393	24765.954	0.1	431.297	6.18	23.4	58.3		8.05	72.58	0.824	
RWA	Africa	Rwanda	2021-07-24	62328.0	953.0	1111.286	727.0	23.0	12.714	4812.152	73.578	85.799	56.129	1.776	0.982																													12952209.0	494.869	20.3	2.974	1.642	1854.211	56.0	191.375	4.28	4.7	21.0	4.617		69.02	0.543	
KNA	North America	Saint Kitts and Nevis	2021-07-24	564.0	4.0	2.0	3.0	0.0	0.0	10603.098	75.199	37.6	56.399	0.0	0.0																													53192.0	212.865				24654.385			12.84				2.3	76.23	0.779	
LCA	North America	Saint Lucia	2021-07-24	5516.0	0.0	6.571	88.0	0.0	0.143	30038.828	0.0	35.786	479.227	0.0	0.778																													183629.0	293.187	34.9	9.721	6.405	12951.839		204.62	11.62			87.202	1.3	76.2	0.759	
VCT	North America	Saint Vincent and the Grenadines	2021-07-24	2271.0	0.0	1.571	12.0	0.0	0.0	20469.233	0.0	14.164	108.16	0.0	0.0																													110947.0	281.787	31.8	7.724	4.832	10727.146		252.675	11.62				2.6	72.53	0.738	
WSM	Oceania	Samoa	2021-07-24	3.0	0.0	0.0			0.0	15.12	0.0	0.0			0.0																													198410.0	69.413	22.0	5.606	3.564	6021.557		348.977	9.21	16.7	38.1			73.32	0.715	
SMR	Europe	San Marino	2021-07-24	5099.0	0.0	0.714	90.0	0.0	0.0	150244.564	0.0	21.047	2651.895	0.0	0.0																													33938.0	556.667				56861.47			5.64				3.8	84.97		
STP	Africa	Sao Tome and Principe	2021-07-24	2424.0	4.0	2.0	37.0	0.0	0.0	11060.362	18.251	9.126	168.826	0.0	0.0																			43942.0	32115.0	11827.0		510.0	20.05	14.65	5.4	2327.0		219161.0	212.841	18.7	2.886	2.162	3052.714	32.3	270.113	2.42			41.34	2.9	70.39	0.625	
SAU	Asia	Saudi Arabia	2021-07-24	513284.0	0.0	837.286	8115.0	0.0	9.571	14743.665	0.0	24.05	233.097	0.0	0.275																			24314234.0	18443264.0	5870970.0	305687.0	293022.0	69.84	52.98	16.86	8417.0	53.7	34813867.0	15.322	31.9	3.295	1.845	49045.411		259.538	17.72	1.8	25.4		2.7	75.13	0.854	
SEN	Africa	Senegal	2021-07-24	56573.0	712.0	885.571	1269.0	5.0	7.857	3378.717	42.523	52.889	75.789	0.299	0.469																			889854.0	625510.0	264344.0		5021.0	5.31	3.74	1.58	300.0		16743930.0	82.328	18.7	3.008	1.796	2470.58	38.0	241.219	2.42	0.4	16.6	20.859		67.94	0.512	
SRB	Europe	Serbia	2021-07-24	719913.0	249.0	206.857	7103.0	5.0	3.286	105798.052	36.593	30.4	1043.853	0.735	0.483																													6804596.0	80.291	41.2	17.366		14048.881		439.415	10.08	37.7	40.2	97.719	5.609	76.0	0.806	
SYC	Africa	Seychelles	2021-07-24	17747.0	0.0	73.286	89.0	0.0	1.143	180465.731	0.0	745.228	905.023	0.0	11.621																													98340.0	208.354	36.2	8.606	5.586	26382.287	1.1	242.648	10.55	7.1	35.7		3.6	73.4	0.796	
SLE	Africa	Sierra Leone	2021-07-24	6218.0	12.0	7.429	118.0	0.0	0.429	779.493	1.504	0.931	14.793	0.0	0.054																													7976985.0	104.7	19.1	2.538	1.285	1390.3	52.2	325.721	2.42	8.8	41.3	19.275		54.7	0.452	
SGP	Asia	Singapore	2021-07-24	64054.0	130.0	153.286	37.0	1.0	0.143	10948.76	22.221	26.201	6.324	0.171	0.024																													5850343.0	7915.731	42.4	12.922	7.049	85535.383		92.243	10.99	5.2	28.3		2.4	83.62	0.938	
SVK	Europe	Slovakia	2021-07-24	392259.0	0.0	32.143	12534.0	0.0	1.429	71847.005	0.0	5.887	2295.755	0.0	0.262																													5459643.0	113.128	41.2	15.07	9.167	30155.152	0.7	287.959	7.29	23.1	37.7		5.82	77.54	0.86	
SVN	Europe	Slovenia	2021-07-24	258619.0	94.0	64.286	4427.0	1.0	0.286	124399.932	45.216	30.922	2129.459	0.481	0.137																			1686017.0	897059.0	788958.0	1416.0	6405.0	81.1	43.15	37.95	3081.0		2078932.0	102.619	44.5	19.062	12.93	31400.84		153.493	7.25	20.1	25.0		4.5	81.32	0.917	
SLB	Oceania	Solomon Islands	2021-07-24	20.0	0.0	0.0			0.0	29.117	0.0	0.0			0.0																													686878.0	21.841	20.8	3.507	2.043	2205.923	25.1	459.78	18.68			35.89	1.4	73.0	0.567	
SOM	Africa	Somalia	2021-07-24	15203.0	23.0	16.857	789.0	8.0	1.143	956.571	1.447	1.061	49.644	0.503	0.072																													15893219.0	23.5	16.8	2.731	1.496			365.769	6.05			9.831	0.9	57.4		
ZAF	Africa	South Africa	2021-07-24	2368105.0	12056.0	12032.143	69488.0	413.0	401.714	39928.466	203.275	202.873	1171.633	6.964	6.773																													59308690.0	46.754	27.3	5.344	3.053	12294.876	18.9	200.38	5.52	8.1	33.2	43.993	2.32	64.13	0.709	
KOR	Asia	South Korea	2021-07-24	188848.0	3115.0	1556.714	2073.0	7.0	2.286	3683.46	60.758	30.364	40.434	0.137	0.045																													51269183.0	527.967	43.4	13.914	8.622	35938.374	0.2	85.998	6.8	6.2	40.9		12.27	83.03	0.916	
SSD	Africa	South Sudan	2021-07-24	10917.0	0.0	0.0	117.0	0.0	0.0	975.278	0.0	0.0	10.452	0.0	0.0																													11193729.0		19.2	3.441	2.032	1569.888		280.775	10.43					57.85	0.433	
ESP	Europe	Spain	2021-07-24	4280429.0	0.0	25743.857	81221.0	0.0	17.857	91550.612	0.0	550.614	1737.17	0.0	0.382																													46754783.0	93.105	45.5	19.436	13.799	34272.36	1.0	99.403	7.17	27.4	31.4		2.97	83.56	0.904	
LKA	Asia	Sri Lanka	2021-07-24	294850.0	2242.0	1619.714	4054.0	52.0	45.857	13769.512	104.702	75.641	189.322	2.428	2.142																			8439469.0	6693072.0	1746397.0	160622.0	198336.0	39.41	31.26	8.16	9262.0		21413250.0	341.955	34.1	10.069	5.331	11669.077	0.7	197.093	10.68	0.3	27.0		3.6	76.98	0.782	
SDN	Africa	Sudan	2021-07-24	37138.0	0.0	21.714	2776.0	0.0	0.0	846.947	0.0	0.495	63.308	0.0	0.0																													43849269.0	23.258	19.7	3.548	2.034	4466.507		431.388	15.67			23.437	0.8	65.31	0.51	
SUR	South America	Suriname	2021-07-24	24797.0	224.0	88.714	628.0	2.0	3.0	42269.967	381.839	151.226	1070.514	3.409	5.114																			235536.0	183522.0	52014.0	996.0	1260.0	40.15	31.28	8.87	2148.0		586634.0	3.612	29.6	6.933	4.229	13767.119		258.314	12.54	7.4	42.9	67.779	3.1	71.68	0.738	
SWE	Europe	Sweden	2021-07-24	1096799.0	0.0	358.857	14651.0	0.0	0.714	108601.81	0.0	35.533	1450.699	0.0	0.071																													10099270.0	24.718	41.0	19.985	13.433	46949.283	0.5	133.982	4.79	18.8	18.9		2.22	82.8	0.945	
CHE	Europe	Switzerland	2021-07-24	712668.0	0.0	670.286	10895.0	0.0	-1.0	82345.402	0.0	77.448	1258.865	0.0	-0.116																												44.44	8654618.0	214.243	43.1	18.436	12.644	57410.166		99.739	5.59	22.6	28.9		4.53	83.78	0.955	
SYR	Asia	Syria	2021-07-24	25865.0	12.0	5.429	1905.0	0.0	0.143	1477.945	0.686	0.31	108.853	0.0	0.008																													17500657.0		21.7		2.577			376.264				70.598	1.5	72.7	0.567	
TWN	Asia	Taiwan	2021-07-24	15558.0	23.0	24.0	786.0	2.0	3.143	653.237	0.966	1.008	33.002	0.084	0.132																													23816775.0		42.2		8.353			103.957						80.46		
TJK	Asia	Tajikistan	2021-07-24	14505.0	78.0	66.857	116.0	0.0	0.857	1520.816	8.178	7.01	12.162	0.0	0.09																												29.63	9537642.0	64.281	23.3	3.466	2.155	2896.913	4.8	427.698	7.11			72.704	4.8	71.1	0.668	
TZA	Africa	Tanzania	2021-07-24	509.0	0.0	0.0	21.0	0.0	0.0	8.521	0.0	0.0	0.352	0.0	0.0																													59734213.0	64.699	17.7	3.108	1.874	2683.304	49.1	217.288	5.75	3.3	26.7	47.953	0.7	65.46	0.529	
THA	Asia	Thailand	2021-07-24	481967.0	14260.0	12854.0	3930.0	119.0	98.571	6904.974	204.298	184.155	56.304	1.705	1.412																													69799978.0	135.132	40.1	11.373	6.89	16277.671	0.1	109.861	7.04	1.9	38.8	90.67	2.1	77.15	0.777	
TLS	Asia	Timor	2021-07-24	10337.0	56.0	33.857	26.0	0.0	0.0	7840.315	42.474	25.68	19.72	0.0	0.0																													1318442.0	87.176	18.0	3.556	1.897	6570.102	30.3	335.346	6.86	6.3	78.1	28.178	5.9	69.5	0.606	
TGO	Africa	Togo	2021-07-24	15072.0	102.0	67.143	143.0	0.0	0.857	1820.568	12.321	8.11	17.273	0.0	0.104																												42.59	8278737.0	143.366	19.4	2.839	1.525	1429.813	49.2	280.033	6.15	0.9	14.2	10.475	0.7	61.04	0.515	
TTO	North America	Trinidad and Tobago	2021-07-24	37365.0	481.0	207.286	1032.0	14.0	6.0	26698.993	343.696	148.115	737.411	10.004	4.287																			507642.0	326343.0	181299.0	19599.0	14616.0	36.27	23.32	12.95	10444.0		1399491.0	266.886	36.2	10.014	5.819	28763.071		228.467	10.97			89.443	3.0	73.51	0.796	
TUN	Africa	Tunisia	2021-07-24	563930.0	5624.0	3304.571	18369.0	317.0	145.0	47715.393	475.859	279.607	1554.243	26.822	12.269																													11818618.0	74.228	32.7	8.001	5.075	10849.297	2.0	318.991	8.52	1.1	65.8	78.687	2.3	76.7	0.74	
TUR	Asia	Turkey	2021-07-24	5587378.0	12381.0	9334.143	50879.0	58.0	55.857	66248.99	146.8	110.674	603.267	0.688	0.662																			65783297.0	39413330.0	22597613.0	453754.0	387560.0	78.0	46.73	26.79	4595.0		84339067.0	104.914	31.6	8.153	5.061	25129.341	0.2	171.285	12.13	14.1	41.1		2.81	77.69	0.82	
UGA	Africa	Uganda	2021-07-24	92115.0	760.0	305.857	2526.0	43.0	28.857	2013.839	16.615	6.687	55.224	0.94	0.631																													45741000.0	213.759	16.4	2.168	1.308	1697.707	41.6	213.333	2.5	3.4	16.7	21.222	0.5	63.37	0.544	
UKR	Europe	Ukraine	2021-07-24	2324935.0	1297.0	1105.286	55347.0	36.0	28.0	53161.106	29.657	25.273	1265.544	0.823	0.64																			4763443.0	3060559.0	1702884.0	71571.0	100281.0	10.89	7.0	3.89	2293.0		43733759.0	77.39	41.4	16.462	11.133	7894.393	0.1	539.849	7.11	13.5	47.4		8.8	72.06	0.779	
ARE	Asia	United Arab Emirates	2021-07-24	670108.0	1507.0	1522.714	1916.0	3.0	2.857	67753.377	152.37	153.959	193.723	0.303	0.289																													9890400.0	112.442	34.0	1.144	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	77.97	0.89	
GBR	Europe	United Kingdom	2021-07-24	5694462.0	31624.0	41004.857	129418.0	88.0	65.429	83882.71	465.84	604.025	1906.402	1.296	0.964																													67886004.0	272.898	40.8	18.517	12.527	39753.244	0.2	122.137	4.28	20.0	24.7		2.54	81.32	0.932	
USA	North America	United States	2021-07-24	34428050.0	27395.0	51448.286	610835.0	115.0	278.714	104011.404	82.764	155.432	1845.408	0.347	0.842																			341039972.0	187982826.0	162725812.0	676050.0	542932.0	101.97	56.21	48.66	1623.0		331002647.0	35.608	38.3	15.413	9.732	54225.446	1.2	151.089	10.79	19.1	24.6		2.77	78.86	0.926	
URY	South America	Uruguay	2021-07-24	380311.0	400.0	225.429	5927.0	14.0	6.857	109482.121	115.15	64.895	1706.237	4.03	1.974																			4662178.0	2534034.0	2128144.0	4359.0	21338.0	134.21	72.95	61.26	6143.0		3473727.0	19.751	35.6	14.655	10.361	20551.409	0.1	160.708	6.93	14.0	19.9		2.8	77.91	0.817	
UZB	Asia	Uzbekistan	2021-07-24	123559.0	773.0	668.286	826.0	7.0	4.714	3691.723	23.096	19.967	24.679	0.209	0.141																													33469199.0	76.134	28.2	4.469	2.873	6253.104		724.417	7.57	1.3	24.7		4.0	71.72	0.72	
VUT	Oceania	Vanuatu	2021-07-24	4.0	0.0	0.0	1.0	0.0	0.0	13.023	0.0	0.0	3.256	0.0	0.0																													307150.0	22.662	23.1	4.394	2.62	2921.909	13.2	546.3	12.02	2.8	34.5	25.209		70.47	0.609	
VAT	Europe	Vatican	2021-07-24	27.0	0.0	0.0			0.0	33374.536	0.0	0.0			0.0																													809.0													75.12		
VEN	South America	Venezuela	2021-07-24	298804.0	1941.0	1012.571	3475.0	32.0	16.143	10507.969	68.259	35.609	122.204	1.125	0.568																													28435943.0	36.253	29.0	6.614	3.915	16745.022		204.85	6.47				0.8	72.06	0.711	
VNM	Asia	Vietnam	2021-07-24	94913.0	16644.0	6273.0	370.0	0.0	20.714	975.081	170.991	64.445	3.801	0.0	0.213																			4535741.0	4163388.0	372353.0	56984.0	39213.0	4.66	4.28	0.38	403.0		97338583.0	308.127	32.6	7.15	4.718	6171.884	2.0	245.465	6.0	1.0	45.9	85.847	2.6	75.4	0.704	
OWID_WRL		World	2021-07-24	193730907.0	565285.0	533204.714	4152497.0	9392.0	8582.571	24853.869	72.521	68.405	532.727	1.205	1.101																			3857093692.0	2114425526.0	1066454329.0	24944032.0	30855306.0	49.48	27.13	13.68	3958.0		7794798729.0	58.045	30.9	8.696	5.355	15469.207	10.0	233.07	8.51	6.434	34.635	60.13	2.705	72.58	0.737	
YEM	Asia	Yemen	2021-07-24	7008.0	5.0	4.429	1373.0	1.0	0.714	234.963	0.168	0.148	46.034	0.034	0.024																													29825968.0	53.508	20.3	2.922	1.583	1479.147	18.8	495.003	5.35	7.6	29.2	49.542	0.7	66.12	0.47	
ZMB	Africa	Zambia	2021-07-24	191527.0	912.0	979.286	3250.0	29.0	28.286	10418.16	49.608	53.268	176.785	1.577	1.539																			343223.0	256059.0	87164.0		9710.0	1.87	1.39	0.47	528.0		18383956.0	22.995	17.7	2.48	1.542	3689.251	57.5	234.499	3.94	3.1	24.7	13.938	2.0	63.89	0.584	
ZWE	Africa	Zimbabwe	2021-07-24	97277.0	1591.0	2094.857	3050.0	89.0	66.0	6544.942	107.045	140.945	205.209	5.988	4.441																													14862927.0	42.729	19.6	2.822	1.882	1899.775	21.4	307.846	1.82	1.6	30.7	36.791	1.7	61.49	0.571	
